security,reason,comments
603718.SSE, 动物疫苗研发生产，近五1年业务基本上原地踏步，17 年存货突然飙升，在疫苗保质明较短的情况下没有计提，主要客户猫腻较多，大笔投资的子公司营收持续为零连续暴亏，一边借债一边理财，募投项目屡次延期,海利生物
300297.SZSE, IT信息安全，12 年至17年业务高速发展、财务指标十分规图，但营收账款周转天数持续拉长，15年以来三次井购形成商誉13亿元，公司业绩主要靠三家井购公司维持，公司短期有息负债不断攀升，公司回复深交所说现金流足够但实际却很空，大股东高比例质押,蓝盾股份
000711.SZSE, 主业不断变换，目前是节水灌溉园林工程，一直 在搞各种资本运作，高价收购严重亏损企业涉嫌掏空上市公司，15 年财务大洗澡，各种资产减值，当年扣非亏损5.87亿16年再次高价收购有问题的公司，直接带来商誉10亿公司应收账款和存货不断激增，负债激增，18 年一季度严重亏损,京蓝科技
600487.SSE, 2017 年预付20亿给垃圾上市公间凯乐科技,亨通光电
300132.SZSE, 基础化工行业，24.3亿跨界并购化妆品贴牌生产企业，标的公司问题多多,青松股份
002377.SZSE, 沥青(过剩行业)及房地产，上市八年业绩平平利润惨淡，跨界收购海外油气最终亏本卖出，高溢价井购Q房网(12 年成立，15年年初仅值5000万，16 卖给上市公司),国创高新
002010.SZSE, 化工加物流，收益靠补助，增持无预期，清仓减持早准备，表面业绩还不错，实际盈利能力却是惨不忍睹,传化智联
002693.SZSE, 海南化学医药股，上市以来增收不增利，16 年以来扣非净利润开始亏损，研发投入低，产品单一，近15亿现金收购垃圾公司，几大股东持续套现减持,双成药业
603955.SSE, 生态景观规划建设，应收账款激增，现金流短缺，上市至今连续比个季度经营现金流为负,大千生态
600680.SSE, 主营连亏12年，资产负债率持续上升,上海普天
000760.SZSE, 新能源汽车军工等概念，上市以来频繁更换证券简称，净利润经常亏损，17年财报被出具“非标意见”，投资信托1.3亿全部亏损，银行账户部分被陈结，董监高相维离职,斯太尔
300647.SZSE, LED 及消费电子散热组件，上市首年，增收不增利，营业收入和归母净利润出现背离，上市至今,超频三
600358.SSE, 业绩很差，当代系，先是财务大洗澡，刻意制造盈利拐点。甩卖资产保证盈利，低价定增，大资产收购，卖壳离场,国旅联合
002761.SZSE, 家用纺织，上市后营收下降，利润下降，毛利下降，产品上黑榜，折腾转型，搞什么扯淡的AI家纺，合作转型对象是个骗局公司,多喜爱
300344.SZSE, 商誉占净资产60%,太空智造
000889.SZSE, 频繁资产重组，频繁更名，商誉30亿,中嘉博创
300134.SZSE, 主营持续变差,大富科技
300601.SZSE, 疫苗，呵呵，13 年就发生过疫苗事件，董事长全家移民加拿大，有行贿前科，研发资本化率明显高于同业，销售见长,康泰生物
002739.SZSE, 88 亿营收，63 亿应收账款，商誉高达百亿,万达电影
600084.SSE, 生产葡萄清，主营葡萄酒业务年年亏损，利润总额2017年近五年首亏，为五家葡萄清上市公司唯一.5损企业，重组停牌一年进军新能原结果以失败告终,中葡股份
600381.SSE, 冬虫夏草第一一股，产品单一，8成营收靠冬虫夏草，单一产品主导风险系数高，15 年刚完成借壳业绩就变脸，之后业绩持续下滑，重组方案不涉及现金补偿，产品有砷中毒风险，现在开始折腾白酒,青海春天
603727.SSE, 海洋油气开发，一上市营收利润直接大腰斩，现金流下滑严重，业绩不好归咎于油价下跌，油价上涨了业绩仍是大跌，大股东减持,博迈科
000506.SZSE, 业绩很差，没有主业，时不时炒作一下股价,中润资源
600777.SSE, 业绩很差,新潮能源
600300.SSE, 豆奶行业，2000 年上市以来多次跨行业尝试多次失败，利润不断下滑，17年扣非净利润大幅亏损,维维股份
002848.SZSE, 上市公同作为集团公司的子公司承担部分业务，集团自身业务极其复杂和多元化，且与上市公司发生诸多关联业务,高斯贝尔
603001.SSE, 奥康皮鞋，12 年上市募集资金项目投入至今未完成，上市以来 公司销量几乎停滞发展，巨额投资电商跨境电商兰亭集势，结果亏损严重，实控人股权全部质押,奥康国际
000790.SZSE, 研发投入极少，公司主打的两个品种专利保护期仅剩六七年，收购的抗癌神药价格两万八，但是持续亏损，实控人变更失联卖壳，套路凑利润,泰合健康
002568.SZSE, 原香精行业，后45收购鸡尾酒Rio,百润股份
300138.SZSE, 上市8年，经营现金流量净额均无法覆盖公司的负债，其中6年为负，公司造血能力不足，实控人发布回购公告却不实施，大股东全部质押,晨光生物
600601.SSE, 印刷电路板及宽带接入，虚构交易，连续亏损，14 年并购标的后续业绩不达标而且开始连续亏损，涉嫌虚假陈述，被巨额索赔，负债高企,方正科技
603555.SSE, 体育产业，三次收购皆不成功，现金循环周期不断拉长，存货周转率不断恶化，财务很糟糕,贵人鸟
002200.SZSE, 原绿大地，连续两年净利润亏损,云投生态
002112.SZSE, 输电设备，转型重组失败，董事长涉嫌内幕交易，连续两年净利润亏损,三变科技
300225.SZSE, 汽车及工业涂料，各种并购问题多多,金力泰
300432.SZSE, 汽车发动机精密零部件，16 年高溢价收购产生商誉15. 63亿，高应收，高质押，业绩下滑严重,富临精工
300578.SZSE, 语音会议及网络会议，溢价并购，现金流很差，股东各种减持,会畅通讯
300221.SZSE, 改性塑料行业，18 年业绩变脸巨亏，收购标的业绩不达标导致商誉减值较大，上市后业绩持续变差，频繁转型，各种蹭热点，16 年17年通过并购改善业绩，但18年又巨亏,银禧科技
300077.SZSE, 芯片，5亿理财投资打水漂，10 亿商誉,国民技术
002656.SZSE, 公司经营困难，一. 年三次资产重组均流产，13 亿募资项目前景堪忧，经营现金流比较差,摩登大道
300313.SZSE, 上市 6年主业已垮，扣非净利连亏4年，子公司财务黑洞，超4亿资金被挪用无人监管，跨界转型溢价并购，标的公司资质一般,天山生物
600069.SSE, 控股股东100%质押，扣非净利润持续亏损，经营现金流很差,银鸽投资
300215.SZSE, 高低压电器检测行业，16年起，大股东二股东各种套现，- -边定增募资，一边在减持，扣非净利润不稳定，忽上忽下,电科院
300076.SZSE, 安防行业，企业名字是老板姓名拼音首字母，大股东各种炒作股价，超高溢价收购导致重组失败，业绩变脸，大股东董监高各种减持套现，各种侵蚀上市公司利益(13年利润744万的情况下14 年580万买下老板娘的劳斯莱斯，买完后还是老板娘开),GQY视讯
300176.SZSE, 汽车发动机变速箱里的铸件，大股东频繁减持套现，牛散连庄进场高度控盘,鸿特科技
002625.SZSE, 概念火到爆，实质产品没有，前身龙生股份在并购重组中各种内幕交易，上市公司各种配合，光启系资本也参与其中,光启技术
300055.SZSE, 原工业水处理行业，上市前即安排好股权结构方便减持，上市公司一切利好都是为了配合减持，频繁公告各种利好(有实质意义的不多)，券商研报超级多，控股股东15年精准清仓式减持套现60亿,万邦达
600703.SSE, 利润大幅掺水，前五个大客户有问题，经不起查询,三安光电
600080.SSE, 酒店及医药，酒店一直亏损，05年控股股东搞过现金舞弊案，公司经营和投资都很一-般，控股股东股份全部质押,金花股份
002650.SZSE, 酱油，公司发展很差，公司内控存重大缺陷，以公司名义违法对外开具商业承兑汇票对外提供担保，控股股东高比例质押且触及平仓线，还被司法冻结，公司拟蛇吞象跨行业并购,加加食品
002575.SZSE, 上市后不好好搞主业， 天天搞转型，大股东各种减持套现，公司营收为零，问题多多,群兴玩具
002041.SZSE, 玉米种子为主要营收，产品单- -， 存在自然灾害及国家政策的风险，17 年以来国家实施衣业供给侧改革，调减玉米种植面积，取消临储指导价，违规种植2590亩转基因玉米(公司大量销售转基因玉米种子)，公司高管被拘留，目前靠巨额理财维持生存,登海种业
002524.SZSE, 建筑钢结构，一次次变更主业，扣非净利润连亏五年，大股东开始连续减持,光正集团
601311.SSE, 汽车铅酸蓄电池，主业占95%，虽专注主业，但是新能源行业更新迭代难以把控，公司近几年增收不增利，现金流逐年变差,骆驼股份
002278.SZSE, 石油化工仪器，总是在卖壳的路上，原大股东为减持八十离婚，公司几大股东混乱争夺控股权，快鹿集团也曾参与，现金流逐年变差，15年16年为负,神开股份
000036.SZSE, 上市多年没作为，两次转型后09年成为房地产开发企业，但又错失了房地产黄金十年,华联控股
000593.SZSE, 天然气业务，增收不增利，16 年亏损，18年一- 季度再次亏损，大股东股权全数质押，拟转型医药失败告终,大通燃气
600235.SSE, 公司业绩不稳，时好时坏，15 年大亏损，控股股东增持计划虎头蛇尾，蹭热点创投概念机会拉升股价趁机减持,民丰特纸
603377.SSE, 驾校第- -股，上市后业绩开始下滑，受地域影响，扩张容易受挫，另外也容易受政策影响,东方时尚
300664.SZSE, 两大股东拟清仓减持30%股份,鹏鹞环保
603080.SSE, 几大股东拟减持26%股份,新疆火炬
600175.SSE, 17年年报18年-季度报未能在规定时间内披露，转型无所不能，啥火干啥各种并购，除了收割没干过正事,美都能源
002502.SZSE, 影视传媒，各种并购，公司的快速增长主要源于外延并购带来的并表收入，套路和华谊一样，目前18亿商誉还未进行过减值,骅威文化
002357.SZSE, 汽车客运站服务，控股股东全额质押，频繁折腾收购，15 年营收开始下滑，重大交通事故子公司高管被刑拘，套路停牌半年躲避下跌，连续下跌导致控股股东开始卖壳,富临运业
000782.SZSE, 化纤企业，锦纶纺织生产销售，营收13年开始不断下滑，净利一年好一年亏，经营现金流是不是为负，控股股东高比例质押，二股东清仓式减持,美达股份
300413.SZSE, 湖南电视台，百亿整合迷雾重重，有诸多财务疑点,芒果超媒
002021.SZSE, 缝纫机，德隆系参与，08 年实控人指使侄女挪用上市公司资金导致被立案调查，14年破产重组，17年亏损，18年三季度亏损，上市以来从未专注经营主业,中捷资源
300080.SZSE, 16 年折腾并购重组失败，17 年亏损，18 年三季度亏损,易成新能
300264.SZSE, 广电行业端到端解决方案，11 年上市以来业绩平平，最近几年的利润主要靠政府补助，主营连年下滑，净利润从上市初21%下滑到1%，17年亏损，18年三季度亏损,佳创视讯
600744.SSE, 17 年亏损，18 年三季度亏损,华银电力
600313.SSE, 17 年亏损，18 年三季度亏损,农发种业
300234.SZSE, 内里面装饰材料，受经济、政府投资及节能环保等影响，15 年以来业绩开始下滑，员工持股在前，董事长减持在后，17年亏损，18 年三季度亏损,开尔新材
600698.SSE, 17 年亏损，18 年三季度亏损,湖南天雁
300399.SZSE, 移动信息服务，上市不久便搞并购重组，并购标的实为实控人控制而遭证监会立案调查，17年亏损，18 年三季度亏损,京天利
600385.SSE, 黄金珠宝等，连续15年财报非标，- -直ST,山东金泰
000633.SZSE, 德隆旧系，曾被ST，数次易主，皆为折腾，17 年亏损2400万，18年三季度亏损，年度扭亏为盈，盈利400万左右,合金投资
000610.SZSE, 17 年亏损，18 年三季度亏损，四季度通过转让子公司股权获得收益进而扭亏为做,西安旅游
002676.SZSE, 生产塑科空调风叶，12年上市以来净利润开始下滑，高送转掩护重要股东减持，大股东高比例套现6.6亿，大股东涉嫌操纵证券期货市场被刑拘遭遇8跌停，随后大股东部分股权被平仓，公司实控人变的扑朔迷离，17年亏损，18年亏损,顺威股份
600156.SSE, 17 年亏损，18 年三季度亏损，年度虽扭亏为盈，但扣非亏损仍较大,华升股份
002418.SZSE, 18 年大幅下修业绩预期，预亏11亿左右,康盛文化
600716.SSE, 江苏地产，17年亏损，18年三季度亏损，四季度扭为盈，但扣非仍亏损,凤凰股份
600302.SSE, 17年亏损， 18年三季度亏损，四季度通过卖土地给政府后扭亏为盈，但扣非仍亏损,标准股份
000897.SZSE, 17 年亏损，18 年亏损近2亿,津滨发展
600800.SSE, 17年亏损，18 年三季度亏损，四季度通过卖地给政府后抓亏为盈，但扣非仍亏损,天津磁卡
002163.SZSE, 17 年亏损，18 年三季度亏损，四季度通过处置子公司股权实现扭亏为盈,中航三鑫
000670.SZSE, 移动终端智能家居等芯片处理器，14 年借壳上市，借壳之前，原上市公司经历了暂停上市、破产电组、重组失败等一系列波折，盈方微借壳上市前净利连续三年逐年下滑，结果为了上市承诺不切实际的高业绩，14年大额定增被监管否定，14 年业绩奇差，预测与实际相差甚远结果被处罚，之后管理层诚恳道歉，然而15年年报为无法表示意见，18年实控人股份被全部冻结，17 年亏损3亿，18年亏损2亿,盈方微
002432.SZSE, 更改主业为移动医疗解决方案，换汤不换药只为蹭热点，上市前假合资骗取优惠政策，大股东-路各种减持套现十多亿，16年9亿定增项目离奇，高溢价并购没有业绩承诺，主业扣非13年至今直处于 亏损状态，上市 至今累计利润亏损8509万，经营现金流长期为负，存货占比明显高干同行，17年亏损，18年三季度亏损,九安医疗
002423.SZSE, 17年亏损，18 年亏损,中原特钢
002289.SZSE, 液晶显示屏及模具，09年上市，上市后业绩-开始不温不火，12 年开始亏损，18年14亿高溢价收购，14年15年两年亏掉14亿，15 年底中植系介入，16 年扭亏但扣非亏损3.5亿，17年亏损，18年1 月拟200亿收购，18年亏损,宇顺电子
600889.SSE, 业务受环保督察影响，17 年亏损，18年三季度亏损，四季度通过处置子公司股权及收到政府补助实现扭亏为盈，扣非仍亏损，南京化纤业务受环保督察影响，17 年亏损，18年三季度亏损，四季度通过处置子公司股权及收到政府补助实现扭亏为盈，扣非仍亏损,南京化纤
600186.SSE, 曾用名莲花味精，98年上市，主业味精，08 年以来味精行业一直处于产能过剩，莲花10年开始下滑，10年至11年扣非连亏，合计亏损高达24亿。11 年莲花占中国1/6份额，之后开始下滑，公司一直处于保壳局面中，14 年中实控人变更，河南地方国资退出(变更前提条件是不得裁员5000名员工，17 年公司薪酬支付1.2亿，其中正常人员支付2300万，剩余9600万为内部退养，停薪留职，待岗等薪酬支付)，15 年至18年折腾资本重组失败，17 年亏损1亿，18年亏损3亿，18年7月革事长辞职,莲花健康
002190.SZSE, 锂电池占比80%，主要用于新能源客车，在锂电池处于行业最气时公司却在17年亏损，18年受补贴政策影响亏损更是扩大,成飞集成
002175.SZSE, 原先是广陆數测，测量仪器制造行业，上市后业绩- - 直不温不火，13 年跨行业并购转型，进入文化传媒硬件行业，16 年维续高溢价井购进入影视传媒行业，井购类似华谊套路，17年亏损，18 年亏损,东方网络
600653.SSE, 17 年亏损近6亿，18年三季度亏损，四季度通过卖股权实现扭亏为盈，扣非亏损8亿左右,申华控股
300163.SZSE, 高分子建筑遮阳材料，17 年亏损近2800万，18年亏损扩大至2.3亿,先锋新材
000010.SZSE, A股老司机经常ST，原名深华新，95 年上市，原主业天然气设备销售，现主业为园林绿化，具有建筑施工行业的普遍特点。高存货(已完工未结算) .高应收、高负债率、现金流緊张及收入舞弊风险较高，15年底高溢价并购重组,美丽生态
600151.SSE, 17年亏损，18 年三季度亏损，四季度通过转让股权实现扭亏为盈，扣非仍大幅亏损,航天机电
000868.SZSE, 利润靠补贴，受新能源补贴政策影响较大，17年号2.3亿，18年亏8亿,安凯客车
600119.SSE, 17 年亏损，18 年亏损5亿,长江投资
000692.SZSE, 17 年亏损，18 年三季度亏损，四季度通过转让子公司股权扭亏为盈,惠天热电
600595.SSE, 17 年亏损，18 年亏近20亿,中孚实业
600396.SSE, 17 年亏损9亿。18年亏8 亿左右,金山股份
000572.SZSE, 17 年亏损10亿，18年亏 15亿左右,海马汽车
600726.SSE, 黑龙江燃煤供电企业，受煤价影响较大，17年亏11亿18年亏9亿,华电能源
000911.SZSE, 糖业存在周期特点，增产降价减产涨价，糖业缺乏品牌溢价,南宁糖业
000927.SZSE, 13 年开始扣非净利润连年号损，在此情况下16年把最赚钱的子公司-汽丰田卖给控股股东，17年亏损18年三季度亏损卖资产29亿避免ST,一汽夏利
300032.SZSE, 曾经号称创业板权重白马股，14 年及17年高溢价并购，业绩承诺有问题，涉嫌掏空上市公司，17年开始炸雷，炸雷之前账面营收及净利都不错，但扣非净利润16年开始亏损，17年亏损，18年预亏22亿，亏损超市值，大股东股份全数质押,金龙机电
002526.SZSE, 煤炭机械设备公司，下游为煤炭行业，上市后不好好经营主业，募集资金质次变更，玩转各种套路和概念，还跨界井购游戏公司，员工涉嫌侵占应收账款反映内控不行,山东矿机
300063.SZSE, 水性油垦，2010 年上市，上市后营收稳定增长，但是扣非净利润仅为零头，12年以来各种行业内外高溢价并购，形成高商誉，限售解禁-一到期大股东就进行高送转套路大减持13亿(占当时总股本16. 5%),天龙集团
002638.SZSE, 原勤上光电，高商誉，减值风险大,勤上股份
300309.SZSE, 财务造假，忽悠式重组，高商誉，减值风险大，大股东清仓式减持,吉艾科技
002528.SZSE, 安防行业，行业高速发展，公司却越来越差，10年底上市，11 年业绩大幅下滑，12 年开始亏损，11 年以来多次井购形成高商誉，并购标的全是歪瓜裂枣，大股东各种减持，17 年初对16年业绩由盈利下修为大幅亏损,英飞拓
002467.SZSE, 高商誉，减值风险大,二六三
600188.SSE, 高商誉，减值风险大,兖州煤业
300128.SZSE, 高商誉，减值风险大，股东大比例质押，15 年股灾明间随意停牌,锦富技术
002225.SZSE, 工业高温领域耐火材料，行业存在产能过剩、无序竞争、回款困难等不利特征，16年亏损，高商誉，时不时进行减值,濮耐股份
002460.SZSE, 高商誉，减值风险大,赣锋锂业
002577.SZSE, 生产键盘鼠标等，13年底并购，股价飞涨后14年中大股东减持套现，且没有及时披露，14 年底再次并购，15 年夸大商誉减值亏个底朝天，16 年确认不存在的营业外收入实现业绩暴增，高商誉，公司乱搞，减值风险大,雷柏科技
300142.SZSE, 疫苗行业，长生前车之鉴，并购多商誉高，减值风险大,沃森生物
300020.SZSE, 重组老司机，业绩承诺纯属忽悠，赔偿责任人集体赖账，大股东高比例质押股票，高商誉，减值风险大,银江股份
000687.SZSE, 商誉占净资产60%以上.减值风险大,华讯方舟
000831.SZSE, 高商誉，减值风险大,五矿稀土
600881.SSE, 高商誉，减值风险大,亚泰集团
600694.SSE, 传统商超，高商誉，减值风险大,大商股份
300058.SZSE, A股并购-哥，商誉47亿，减值风险大,蓝色光标
300184.SZSE, 商誉23亿，占净资产59%,力源信息
000150.SZSE, 商誉21亿，占净资产605%以上,宜华健康
300465.SZSE, 商誉9亿，占净资产60%以上,高伟达
300478.SZSE, 商誉占净资产60%以上,杭州高新
002279.SZSE, 商誉16亿，占净资产60%以上,久其软件
300149.SZSE, 商誉16亿，占净资产60%以上,量子生物
300280.SZSE, 商誉9.8亿，占净资产60%以上,紫天科技
300010.SZSE, 商誉41亿，占净资产60%以上，18年亏损12亿,立思辰
300318.SZSE, 商誉8亿，占净资产60%以上，不合理高送转掩护重要股东减持,博晖创新
300343.SZSE, 商誉32亿，占净资产60%以上，不合理高送转掩护重要股东减持，18 年预号17亿,联创互联
300467.SZSE, 商誉22亿，占净资产60%以上,迅游科技
300326.SZSE, 商誉15亿。占净资产60%以上,凯利泰
300192.SZSE, 商誉占净资产60%以上,科斯伍德
300089.SZSE, 商誉16亿，占净资产60%以E,文化长城
300061.SZSE, 商誉23亿，占净资产60%以b,康旗股份
300359.SZSE, 商誉14亿，占净资产605%以上，不合理高送转掩护重要股东减持，瞎并购涉嫌利益输送,全通教育
300242.SZSE, 前身是明家联合，商誉15亿，占净资产60%以上，不合理高送转掩护重要股东减持,佳云科技
600892.SSE, 商誉13亿，占净资产60%以上,大晟文化
300338.SZSE, 商誉14亿，占净资产60%以b，,开元股份
002168.SZSE, 城乡配电相关产品，14年至今营收不断F滑，净利开始亏损，商誉12亿，占净资产60%以E,深圳惠程
600986.SSE, 商誉40亿，占净资产60%以E,科达股份
300051.SZSE, 商誉6亿，占净资产60%以上,三五互联
300311.SZSE, 商誉8.5亿，古净资产60%以上,任子行
300038.SZSE, 商誉63亿，占净资产60%以上,数知科技
002247.SZSE, 前身帝龙文化，商誉32亿，占净资产60%以上.不合理高送转掩护重要股东减持，18年大幅下修业绩预期，预盈4亿变亏损20亿,聚力文化
300315.SZSE, 商誉54亿，占净资产60%以上,掌趣科技
300350.SZSE, 商誉10亿，占净资产60%以上,华鹏飞
002261.SZSE, 商誉21亿，占净资产60%以上，18 年预计亏损10亿，主要系商誉大额减值影响，不合理高送转掩护重要股东减持,拓维信息
603366.SSE, 太阳能热水器，公司有较大商誉且存在减值风险，募投项目几经波折，面目全非，上市以来未曾对其固定资产进行过减值，17 年扣非净利润为负。高溢价收购帅康电气，业绩远达不到承诺要求,日出东方
002103.SZSE, 公司收购灵云传媒，产生了较大商誉，存在减值风险,广博股份
300410.SZSE, 公司商誉10亿，占总资产33%，存在商誉减值风险,正业科技
300018.SZSE, 公司收购世轩科技形成裔誉4. 6亿，但世轩科技业绩不达标，不合理高送转掩护重要股东减持，18 年预号4亿,中元股份
300279.SZSE, 收购的标的公司业绩下滑存在商誉减值风险,和晶科技
002077.SZSE, 收购的标的存在商脊减值风险,大港股份
002654.SZSE, 部分子公司存在大额商誉减值风险,万润科技
002513.SZSE, 商誉8亿，目前业绩不达标，存在减值风险,蓝丰生化
002581.SZSE, 18 年计提1.83亿商誉,未名医药
002609.SZSE, 停车及门禁，财务存疑上市首亏导致闪崩，季度营收及毛利率波动异常，应收预售款反向变动，存货周转率及发出商品异常变动，智慧停车竞争对手小猫索蜂比较强,捷顺科技
603286.SSE, 汽车零部件，小非限售解禁后立马清仓式减持，IPO 募集资金的项目原来本身产能利用率就不足，为了上市而上市(套现? )，后续股东广告减持12%,日盈电子
603667.SSE, 汽车轴承产品，营收及净利貌似增长，但实际上净利润现金含量却在上市后的两年里逐年下降，上市第二年开始外延井购,五洲新春
300665.SZSE, 轨道交通防腐防水涂料，为中车服务，上市仅-年， 七股东齐套现，15 年17年经营现金流为负,飞鹿股份
300452.SZSE, 药用辅料生产，行业门槛低，竞争对手多，下游药企话语权大，董监高大幅减持,山河药辅
002199.SZSE, 石英晶体元器件，12 年以来扣非净利润连续6年亏损，为灯保壳各种卖资,东晶电子
002451.SZSE, 特种电力电缆，主业利润连续下滑，16年17年亏损，闪电成立的摩恩投资17年盈利达5600万，引来交易所关注后公司选择置之不理，大股东巨额套现,摩恩电气
300384.SZSE, 锦纶聚合及纺丝整体技术，上市后营收开始下滑，控股股东高比例质押，业绩一般却高送转，涉嫌炒作股价,三联虹普
600749.SSE, 上市 22年，经营困难，经常亏损,西藏旅游
002612.SZSE, 女装行业，大股东高比例质押，15年股灾期间随意停牌，不合理高送转掩护实控人减持,朗姿股份
002094.SZSE, 化妆品、蜡烛及工艺制品，毛利率逐渐下滑，15年后收购多家化妆品公司近13亿商誉，目前化妆品占较大营收，经营活动现金流逐年变差，18 年为负值，大股东全部质押，15年股灾明间随意停牌,青岛金王
603766.SSE, 大股东全部质押，15 年股灾阴间随意停牌,隆鑫通用
000588.SZSE, 主业和体育无关，石化轻纺贸易业务占比90%，毛利率- 路下滑，扣非净利润不稳定，客户和供应商错综复杂，大股东全部质押，15 年股灾期间随意停牌,莱茵体育
